Avg Critic Score,Critic Score,Region,Vintage,Wine Name,_id
95,92,Saint-Estephe,2012,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687ab
95,91,Saint-Estephe,2013,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687ac
92,92,Cote de Beaune,2004,"Coche-Dury, Meursault",6581ba4099d7fcd8bc2687ad
92,91,Cote de Beaune,2012,"Coche-Dury, Meursault",6581ba4099d7fcd8bc2687ae
92,91,Cote de Beaune,2006,"Coche-Dury, Meursault",6581ba4099d7fcd8bc2687af
95,92,Saint-Estephe,2002,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687b0
95,92,Saint-Estephe,2001,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687b1
95,93,Saint-Estephe,2000,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687b2
96,95,Cote de Nuits,2021,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687b3
96,96,Cote de Nuits,2020,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687b4
96,96,Cote de Nuits,2019,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687b5
96,96,Cote de Nuits,2018,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687b6
96,96,Cote de Nuits,2017,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687b7
96,97,Cote de Nuits,2016,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687b8
96,97,Cote de Nuits,2015,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687b9
95,93,Saint-Estephe,2006,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687ba
95,92,Saint-Estephe,2004,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687bb
95,94,Saint-Estephe,2003,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687bc
96,96,Cote de Nuits,2012,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687bd
96,96,Cote de Nuits,2013,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687be
96,98,Cote de Nuits,2010,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687bf
96,95,Cote de Nuits,2011,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687c0
95,92,Saint-Estephe,2011,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687c1
95,95,Saint-Estephe,2005,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687c2
95,93,Saint-Estephe,2008,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687c3
95,91,Saint-Estephe,2007,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",6581ba4099d7fcd8bc2687c4
96,96,Cote de Nuits,2009,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687c5
96,97,Cote de Nuits,2014,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687c6
96,95,Cote de Nuits,2008,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687c7
96,94,Cote de Nuits,2007,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687c8
96,95,Cote de Nuits,2006,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687c9
96,97,Cote de Nuits,2005,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687ca
96,93,Cote de Nuits,2004,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687cb
96,94,Cote de Nuits,2003,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687cc
96,93,Cote de Nuits,2000,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687cd
